DirectoryPath,Status,NumberOfSlices,MultipleStacks,Contrast,Orientation,NiftiSafe,Is4D,StackCount,TriggerType,DetailedParams,ValidationNote,ContrastBolusAgent,ContrastBolusRoute,ContrastBolusVolume,ContrastBolusTotalDose,ContrastBolusIngredient,ContrastBolusIngredientConcentration,ScanningSequence,SequenceVariant,ScanOptions,MRAcquisitionType,SequenceName,AngioFlag,SliceThickness,RepetitionTime,EchoTime,InversionTime,NumberOfAverages,ImagingFrequency,ImagedNucleus,EchoNumbers,MagneticFieldStrength,SpacingBetweenSlices,NumberOfPhaseEncodingSteps,EchoTrainLength,PixelBandwidth,ReconstructionDiameter,FlipAngle,VariableFlipAngleFlag,DiffusionBValue,ImageType,SOPClassUID,Modality,StudyDescription,SeriesDescription,SeriesNumber,AcquisitionNumber
/home/anastasiia/Downloads/Series_Classification/0029/20,ok,36,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,EP,SK\SP,PFP\SFS,2D,NaN,N,6,5800,62,NaN,4,123.242457,1H,1,3,7.5,124,62,1630,NaN,90,N,NaN,DERIVED_PRIMARY_DIFFUSION_ADC_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,20,20,1
/home/anastasiia/Downloads/Series_Classification/0029/21,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,4.12,1.9,NaN,1,123.242446,1H,1,3,NaN,179,1,400,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,21,21,1
/home/anastasiia/Downloads/Series_Classification/0029/22,ok,80,False,True,cor,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,3,4.12,1.9,NaN,1,123.242459,1H,1,3,NaN,233,1,400,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,22,22,1
/home/anastasiia/Downloads/Series_Classification/0029/3,ok,72,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SP,PFP\SAT2,3D,NaN,N,4,4.06,1.23,NaN,1,123.242448,1H,1,3,NaN,143,2,1030,NaN,9,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,3,3,1
/home/anastasiia/Downloads/Series_Classification/0029/23,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,4.12,1.9,NaN,1,123.242446,1H,1,3,NaN,179,1,400,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,23,23,1
/home/anastasiia/Downloads/Series_Classification/0029/4,ok,72,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SP,PFP\SAT2,3D,NaN,N,4,4.06,2.46,NaN,1,123.242448,1H,2,3,NaN,143,2,1030,NaN,9,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,4,4,1
/home/anastasiia/Downloads/Series_Classification/0029/5,ok,72,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SP,DIXF,3D,NaN,N,4,4.06,1.23,NaN,1,123.242448,1H,1,3,NaN,143,2,1030,NaN,9,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,5,5,1
/home/anastasiia/Downloads/Series_Classification/0030/1,check_geometry,12,False,False,tra,False,False,1,None,NaN,IMAGE_ORIENTATION_INCONSISTENT,NaN,NaN,NaN,NaN,NaN,NaN,GR,SP\OSP,PFP,2D,NaN,N,10,7.8,3.69,NaN,1,123.242482,1H,1,3,20,224,1,320,NaN,20,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,1,1,1
/home/anastasiia/Downloads/Series_Classification/0029/8,ok,36,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK\SP,PFP\SAT2\SFS,2D,NaN,N,6,6138.90625,81,NaN,3,123.242448,1H,1,3,7.5,180,20,275,NaN,160,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D_FM3_1_FIL,1.2.840.10008.5.1.4.1.1.4,MR,NaN,8,8,1
/home/anastasiia/Downloads/Series_Classification/0030/10,ok,36,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK\SP,PFP\SFS,2D,NaN,N,6,800,89,NaN,1,123.242482,1H,1,3,7.98,112,77,710,NaN,125,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,10,10,1
